Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C5,100nF,C_0603_1608Metric,-82.666666,-89.75,270,top
C5,100nF,C_0603_1608Metric,337.666666,-73.25,90,top
C6,100nF,C_0603_1608Metric,328.333333,-73.25,90,top
C6,100nF,C_0603_1608Metric,-73.333333,-89.75,270,top
C7,100nF,C_0603_1608Metric,-64,-89.75,270,top
C7,100nF,C_0603_1608Metric,319,-73.25,90,top
C8,100nF,C_0603_1608Metric,-54.666666,-89.75,270,top
C8,100nF,C_0603_1608Metric,309.666666,-73.25,90,top
C9,100nF,C_0603_1608Metric,300.333333,-73.25,90,top
C9,100nF,C_0603_1608Metric,-45.333333,-89.75,270,top
C10,100nF,C_0603_1608Metric,291,-73.25,90,top
C10,100nF,C_0603_1608Metric,-36,-89.75,270,top
C11,100nF,C_0603_1608Metric,-26.666666,-89.75,270,top
C11,100nF,C_0603_1608Metric,281.666666,-73.25,90,top
C12,100nF,C_0603_1608Metric,272.333333,-73.25,90,top
C12,100nF,C_0603_1608Metric,-17.333333,-89.75,270,top
C13,100nF,C_0603_1608Metric,-8,-89.75,270,top
C13,100nF,C_0603_1608Metric,263,-73.25,90,top
C14,100nF,C_0603_1608Metric,253.666666,-73.25,90,top
C14,100nF,C_0603_1608Metric,1.333334,-89.75,270,top
C15,100nF,C_0603_1608Metric,244.333333,-73.25,90,top
C15,100nF,C_0603_1608Metric,10.666667,-89.75,270,top
C16,100nF,C_0603_1608Metric,235,-73.25,90,top
C16,100nF,C_0603_1608Metric,20,-89.75,270,top
C17,100nF,C_0603_1608Metric,29.333334,-89.75,270,top
C17,100nF,C_0603_1608Metric,225.666666,-73.25,90,top
C18,100nF,C_0603_1608Metric,38.666667,-89.75,270,top
C18,100nF,C_0603_1608Metric,216.333333,-73.25,90,top
C19,100nF,C_0603_1608Metric,207,-73.25,90,top
C19,100nF,C_0603_1608Metric,48,-89.75,270,top
C20,100nF,C_0603_1608Metric,197.666666,-73.25,90,top
C20,100nF,C_0603_1608Metric,57.333334,-89.75,270,top
C21,100nF,C_0603_1608Metric,66.666667,-89.75,270,top
C21,100nF,C_0603_1608Metric,188.333333,-73.25,90,top
C22,100nF,C_0603_1608Metric,179,-73.25,90,top
C22,100nF,C_0603_1608Metric,76,-89.75,270,top
C23,100nF,C_0603_1608Metric,85.333334,-89.75,270,top
C23,100nF,C_0603_1608Metric,169.666666,-73.25,90,top
C24,100nF,C_0603_1608Metric,160.333333,-73.25,90,top
