Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,-12.205,-127,0,top
C2,100nF,C_0603_1608Metric,323.075,-127,0,top
C3,100nF,C_0603_1608Metric,211.315,-127,0,top
C4,100nF,C_0603_1608Metric,99.555,-127,0,top
D48,D_Schottky,D_SMA,140.335,-10.89,90,top
D49,D_Schottky,D_SMA,124.46,-10.89,90,top
R1,10k,R_0603_1608Metric,-17.78,-136.08,270,top
R2,10k,R_0603_1608Metric,317.5,-136.08,270,top
R3,10k,R_0603_1608Metric,205.74,-136.08,270,top
R4,10k,R_0603_1608Metric,93.98,-136.08,270,top
R5,5.1k,R_0603_1608Metric,150.34,-15,0,top
R6,5.1k,R_0603_1608Metric,150.34,-17,0,top
U2,74HC4051D,SOIC-16_3.9x9.9mm_P1.27mm,-12.7,-133.35,0,top
U3,74HC4051D,SOIC-16_3.9x9.9mm_P1.27mm,322.58,-133.35,0,top
U4,74HC4051D,SOIC-16_3.9x9.9mm_P1.27mm,210.82,-133.35,0,top
U5,74HC4051D,SOIC-16_3.9x9.9mm_P1.27mm,99.06,-133.35,0,top
