Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",-12.205000,-127.000000,0.000000,top
"C2","100nF","C_0603_1608Metric",323.075000,-127.000000,0.000000,top
"C3","100nF","C_0603_1608Metric",211.315000,-127.000000,0.000000,top
"C4","100nF","C_0603_1608Metric",99.555000,-127.000000,0.000000,top
"C5","100nF","C_0603_1608Metric",-65.941667,-124.000000,0.000000,top
"C6","100nF","C_0603_1608Metric",-56.608334,-124.000000,0.000000,top
"C7","100nF","C_0603_1608Metric",-47.275001,-124.000000,0.000000,top
"C8","100nF","C_0603_1608Metric",-37.941668,-124.000000,0.000000,top
"C9","100nF","C_0603_1608Metric",-28.608335,-124.000000,0.000000,top
"C10","100nF","C_0603_1608Metric",-19.275002,-124.000000,0.000000,top
"C11","100nF","C_0603_1608Metric",-9.941669,-124.000000,0.000000,top
"C12","100nF","C_0603_1608Metric",-0.608336,-124.000000,0.000000,top
"C13","100nF","C_0603_1608Metric",8.724997,-124.000000,0.000000,top
"C14","100nF","C_0603_1608Metric",18.058330,-124.000000,0.000000,top
"C15","100nF","C_0603_1608Metric",27.391663,-124.000000,0.000000,top
"C16","100nF","C_0603_1608Metric",36.724996,-124.000000,0.000000,top
"C17","100nF","C_0603_1608Metric",46.058329,-124.000000,0.000000,top
"C18","100nF","C_0603_1608Metric",55.391662,-124.000000,0.000000,top
"C19","100nF","C_0603_1608Metric",64.724995,-124.000000,0.000000,top
"C20","100nF","C_0603_1608Metric",74.058328,-124.000000,0.000000,top
"C21","100nF","C_0603_1608Metric",83.391661,-124.000000,0.000000,top
"C22","100nF","C_0603_1608Metric",92.724994,-124.000000,0.000000,top
"C23","100nF","C_0603_1608Metric",102.058327,-124.000000,0.000000,top
"C24","100nF","C_0603_1608Metric",111.391660,-124.000000,0.000000,top
"C25","100nF","C_0603_1608Metric",120.724993,-124.000000,0.000000,top
"C26","100nF","C_0603_1608Metric",130.058326,-124.000000,0.000000,top
"C27","100nF","C_0603_1608Metric",139.391659,-124.000000,0.000000,top
"C28","100nF","C_0603_1608Metric",148.724992,-124.000000,0.000000,top
"C29","100nF","C_0603_1608Metric",158.058325,-124.000000,0.000000,top
"C30","100nF","C_0603_1608Metric",167.391658,-124.000000,0.000000,top
"C31","100nF","C_0603_1608Metric",176.724991,-124.000000,0.000000,top
"C32","100nF","C_0603_1608Metric",186.058324,-124.000000,0.000000,top
"C33","100nF","C_0603_1608Metric",195.391657,-124.000000,0.000000,top
"C34","100nF","C_0603_1608Metric",204.724990,-124.000000,0.000000,top
"C35","100nF","C_0603_1608Metric",214.058323,-124.000000,0.000000,top
"C36","100nF","C_0603_1608Metric",223.391656,-124.000000,0.000000,top
"C37","100nF","C_0603_1608Metric",232.724989,-124.000000,0.000000,top
"C38","100nF","C_0603_1608Metric",242.058322,-124.000000,0.000000,top
"C39","100nF","C_0603_1608Metric",251.391655,-124.000000,0.000000,top
"C40","100nF","C_0603_1608Metric",260.724988,-124.000000,0.000000,top
"C41","100nF","C_0603_1608Metric",270.058321,-124.000000,0.000000,top
"C42","100nF","C_0603_1608Metric",279.391654,-124.000000,0.000000,top
"C43","100nF","C_0603_1608Metric",288.724987,-124.000000,0.000000,top
"C44","100nF","C_0603_1608Metric",298.058320,-124.000000,0.000000,top
"C45","100nF","C_0603_1608Metric",307.391653,-124.000000,0.000000,top
"C46","100nF","C_0603_1608Metric",316.724986,-124.000000,0.000000,top
"C47","100nF","C_0603_1608Metric",326.058319,-124.000000,0.000000,top
"C48","100nF","C_0603_1608Metric",335.391652,-124.000000,0.000000,top
"C49","100nF","C_0603_1608Metric",344.724985,-124.000000,0.000000,top
"C50","100nF","C_0603_1608Metric",354.058318,-124.000000,0.000000,top
"C51","100nF","C_0603_1608Metric",363.391667,-124.000000,0.000000,top
"D1","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-66.666667,-120.000000,180.000000,top
"D2","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-57.333334,-120.000000,180.000000,top
"D3","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-48.000001,-120.000000,180.000000,top
"D4","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-38.666668,-120.000000,180.000000,top
